DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
Nacional,2014,Total,45.866.010
Nacional,2015,Cabecera,34.853.590
Nacional,2015,Centros Poblados y Rural Disperso,11.460.308
Nacional,2015,Total,46.313.898
Nacional,2016,Cabecera,35.273.507
Nacional,2016,Centros Poblados y Rural Disperso,11.556.609
Nacional,2016,Total,46.830.116
Nacional,2017,Cabecera,35.749.834
Nacional,2017,Centros Poblados y Rural Disperso,11.669.366
Nacional,2017,Total,47.419.200
,,,
Fuente: DANE. Dirección de Censos y Demografía,,,
Actualización: Marzo de 2023,,,
